query,emotion,mode,doc_title,doc_content,feedback,timestamp
climate change,Hopeful,aligned,Activists Raise Hopes with Clean Energy Push,"Young leaders call for sweeping changes in energy policy, citing hope and momentum for reform.","ğŸ‘ Not Relevant",2025-04-04T10:00:00
housing crisis,Angry,aligned,Frustration Boils Over in Housing March,"Protesters rally for affordable housing, citing decades of neglect.","ğŸ‘ Not Relevant",2025-04-04T10:01:00
gun violence,Fearful,cont,Lawmakers Clash Over Gun Control Bill,"A new bill faces bipartisan debate amid rising gun-related fears.","ğŸ‘ Not Relevant",2025-04-04T10:02:00
student debt,Frustrated,cont,Hope Grows as Debt Relief Plans Expand,"Students share optimism over proposed debt cancellation policies.","ğŸ‘ Not Relevant",2025-04-04T10:03:00
voter suppression,Empowered,aligned,Communities Mobilize to Protect Voting Rights,"Grassroots groups organize rides and outreach for upcoming elections.","ğŸ‘ Not Relevant",2025-04-04T10:04:00
Cautionary tales from failed campaigns,Empowered,cont,The Failed Ideas That Drive Elon Musk,The Failed Ideas That Drive Elon Musk,ğŸ‘ Relevant,2025-04-04T12:03:54.791571
Immigration laws and border issues,Fearful,aligned,A wave of artists are reconsidering tours over U.S. border detention fears,A wave of artists are reconsidering tours over U.S. border detention fears,ğŸ‘ Relevant,2025-04-05T12:22:19.667739
Immigration laws and border issues,Fearful,aligned,"Feds locking up families, children at Canadian border","Feds locking up families, children at Canadian border",ğŸ‘ Relevant,2025-04-05T12:22:48.465461
Immigration laws and border issues,Fearful,aligned,â€˜Pretty sketchy lookingâ€™: Judge takes DOJ lawyer to the woodshed over Trumpâ€™s mass deportations and whether federal court orders are being ignored,â€˜Pretty sketchy lookingâ€™: Judge takes DOJ lawyer to the woodshed over Trumpâ€™s mass deportations and whether federal court orders are being ignored,ğŸ‘ Not Relevant,2025-04-05T12:23:15.760274
Immigration laws and border issues,Fearful,aligned,â€˜Nowhere on Earth is safeâ€™: Trump imposes tariffs on uninhabited islands near Antarctica,â€˜Nowhere on Earth is safeâ€™: Trump imposes tariffs on uninhabited islands near Antarctica,ğŸ‘ Not Relevant,2025-04-05T12:24:24.814243
Climate change,Angry,aligned,Florida Senate approves ban on geoengineering and weather modification | Bill speaks to alarm about â€˜chemtrailsâ€™ in the atmosphere.,Florida Senate approves ban on geoengineering and weather modification | Bill speaks to alarm about â€˜chemtrailsâ€™ in the atmosphere.,ğŸ‘ Relevant,2025-04-05T23:14:38.105795
Climate change,Angry,aligned,World markets are on fire and Trump is out golfing,World markets are on fire and Trump is out golfing,ğŸ‘ Not Relevant,2025-04-05T23:15:05.933064
Climate change,Angry,aligned,Elon Musk Canâ€™t Take the Heat,Elon Musk Canâ€™t Take the Heat,ğŸ‘ Not Relevant,2025-04-05T23:15:36.090199
Climate change,Angry,aligned,Stop Groping Greenland,Stop Groping Greenland,ğŸ‘ Relevant,2025-04-05T23:16:11.722696
gun control,Fearful,cont,"A believer in UAPs (or UFOs) takes aim at UAVs (or drones) | Property owners should be allowed to take down drones with a shotgun, Tim Burchett says","A believer in UAPs (or UFOs) takes aim at UAVs (or drones) | Property owners should be allowed to take down drones with a shotgun, Tim Burchett says",ğŸ‘ Relevant,2025-04-05T23:23:16.722494
gun control,Fearful,cont,Call Your Senators Now: Sanders' Bill Seeks to Block U.S. Weapons Transfers,Call Your Senators Now: Sanders' Bill Seeks to Block U.S. Weapons Transfers,ğŸ‘ Relevant,2025-04-05T23:23:52.440615
gun control,Fearful,cont,"In the Academy and the Legal World, Itâ€™s Time to Stay and Fight","In the Academy and the Legal World, Itâ€™s Time to Stay and Fight",ğŸ‘ Not Relevant,2025-04-05T23:24:48.924009
gun control,Fearful,cont,The MAGA Backlash Arrives,The MAGA Backlash Arrives,ğŸ‘ Not Relevant,2025-04-05T23:25:23.641926
student debt relief	,Hopeful,aligned,Education Department Moves to Revamp Student Debt Programs,Education Department Moves to Revamp Student Debt Programs,ğŸ‘ Relevant,2025-04-05T23:32:10.562388
student debt relief	,Hopeful,aligned,Trump and DOGE Defund Program That Boosted American Manufacturing for Decades,Trump and DOGE Defund Program That Boosted American Manufacturing for Decades,ğŸ‘ Relevant,2025-04-05T23:33:19.375593
student debt relief	,Hopeful,aligned,Senate Republicans Unveil Budget Blueprint to Deliver on Trumpâ€™s Agenda,Senate Republicans Unveil Budget Blueprint to Deliver on Trumpâ€™s Agenda,ğŸ‘ Not Relevant,2025-04-05T23:33:53.651307
student debt relief	,Hopeful,aligned,NDP proposes reviving war-era Victory Bonds to raise money for trade fight with U.S.,NDP proposes reviving war-era Victory Bonds to raise money for trade fight with U.S.,ğŸ‘ Not Relevant,2025-04-05T23:34:26.825253
police reform	,Frustrated,cont,Unsolved violent crimes in Native American communities to get more attention with FBI surge,Unsolved violent crimes in Native American communities to get more attention with FBI surge,ğŸ‘ Relevant,2025-04-05T23:41:20.795747
police reform	,Frustrated,cont,"Tucson police designed 'scheme' to ruin Justine Wadsack's political career, lawsuit says","Tucson police designed 'scheme' to ruin Justine Wadsack's political career, lawsuit says",ğŸ‘ Relevant,2025-04-05T23:42:02.701861
police reform	,Frustrated,cont,Unmarked Vans. Secret Lists. Public Denunciations. Our Police State Has Arrived.,Unmarked Vans. Secret Lists. Public Denunciations. Our Police State Has Arrived.,ğŸ‘ Not Relevant,2025-04-05T23:42:36.096703
police reform	,Frustrated,cont,When Fascism Comes to America,When Fascism Comes to America,ğŸ‘ Not Relevant,2025-04-05T23:43:14.705590
LGBTQ+ rights,Empowered,aligned,"LGBTQ+ advocates look to courts amid new bathroom, sports bans in Wyoming","LGBTQ+ advocates look to courts amid new bathroom, sports bans in Wyoming",ğŸ‘ Not Relevant,2025-04-05T23:47:22.039685
LGBTQ+ rights,Empowered,aligned,Trans woman arrested for using women's restroom in what could be a first under a Florida law. A 20-year-old resident of Illinois was taken into custody by Capital police and charged with trespassing after she tried to use a womenâ€™s restroom at the state Capitol building last month.,Trans woman arrested for using women's restroom in what could be a first under a Florida law. A 20-year-old resident of Illinois was taken into custody by Capital police and charged with trespassing after she tried to use a womenâ€™s restroom at the state Capitol building last month.,ğŸ‘ Not Relevant,2025-04-05T23:48:28.616873
LGBTQ+ rights,Empowered,aligned,"â€˜Iâ€™m willing to suffer for rightsâ€™, says trans woman arrested for using womenâ€™s toilets","â€˜Iâ€™m willing to suffer for rightsâ€™, says trans woman arrested for using womenâ€™s toilets",ğŸ‘ Relevant,2025-04-05T23:50:45.236693
LGBTQ+ rights,Empowered,aligned,Countries issue advisories about trans people traveling to the United States,Countries issue advisories about trans people traveling to the United States,ğŸ‘ Relevant,2025-04-05T23:51:20.311177
